tanggal,Yield_BRA_MAY_54,Yield_CHIL_JAN_54,Yield_COL_NOV_54,Yield_INDO_SEP_54,Yield_KSA_JAN_54,Yield_MEX_MAY_55,Yield_SOAF_NOV_54,Yield_US_CT_30Y,Spread_BRA_MAY_54,Spread_CHIL_JAN_54,Spread_COL_NOV_54,Spread_INDO_SEP_54,Spread_KSA_JAN_54,Spread_MEX_MAY_55,Spread_SOAF_NOV_54,Yield_BRA_JAN_56,Spread_BRA_JAN_56
2019-12-19,4.792,3.252,3.997,3.542,3.871,4.019,5.965,2.354,243.8,89.8,164.3,118.8,151.7,166.5,361.1,,
2019-12-20,4.806,3.258,3.997,3.549,3.863,4.028,5.963,2.344,246.2,91.4,165.3,120.5,151.9,168.4,361.9,,
2019-12-23,4.802,3.253,4.0,3.532,3.871,4.022,5.947,2.357,244.5,89.6,164.3,117.5,151.4,166.5,359.0,,
2019-12-24,4.797,3.253,3.997,3.53,3.853,4.021,5.95,2.331,246.6,92.2,166.6,119.9,152.2,169.0,361.9,,
2019-12-25,4.797,3.253,3.997,3.53,3.853,4.021,5.95,2.331,246.6,92.2,166.6,119.9,152.2,169.0,361.9,,
2019-12-26,4.797,3.253,4.002,3.524,3.847,4.019,5.951,2.323,247.4,93.0,167.9,120.1,152.4,169.6,362.8,,
2019-12-27,4.787,3.247,3.997,3.522,3.862,4.015,5.93,2.316,247.1,93.1,168.1,120.6,154.6,169.9,361.4,,
2019-12-30,4.794,3.252,4.006,3.525,3.839,4.016,5.926,2.33,246.4,92.2,167.6,119.5,150.9,168.6,359.6,,
2019-12-31,4.795,3.249,4.002,3.527,3.884,4.019,5.917,2.39,240.5,85.9,161.2,113.7,149.4,162.9,352.7,,
2020-01-01,4.795,3.249,4.002,3.527,3.884,4.019,5.917,2.39,240.5,85.9,161.2,113.7,149.4,162.9,352.7,,
2020-01-02,4.787,3.253,3.997,3.548,3.902,4.017,5.871,2.332,245.5,92.1,166.5,121.6,157.0,168.5,353.9,,
2020-01-03,4.782,3.235,3.959,3.55,3.916,3.988,5.882,2.246,253.6,98.9,171.3,130.4,167.0,174.2,363.6,,
2020-01-06,4.777,3.186,3.961,3.537,4.013,4.011,5.834,2.286,249.1,90.0,167.5,125.1,172.7,172.5,354.8,,
2020-01-07,4.779,3.196,3.987,3.538,3.968,4.047,5.785,2.306,247.3,89.0,168.1,123.2,166.2,174.1,347.9,,
2020-01-08,4.783,3.222,4.01,3.563,3.966,4.034,5.768,2.363,242.0,85.9,164.7,120.0,160.3,167.1,340.5,,
2020-01-09,4.749,3.24,4.01,3.497,3.945,4.028,5.786,2.33,241.9,91.0,168.0,116.7,161.5,169.8,345.6,,
2020-01-10,4.707,3.226,3.999,3.484,3.927,4.005,5.834,2.28,242.7,94.6,171.9,120.4,164.7,172.5,355.4,,
2020-01-13,4.72,3.24,3.997,3.479,3.936,4.029,5.903,2.303,241.7,93.7,169.4,117.6,163.3,172.6,360.0,,
2020-01-14,4.731,3.23,3.993,3.487,3.917,4.044,5.907,2.27,246.1,96.0,172.3,121.7,164.7,177.4,363.7,,
2020-01-15,4.714,3.206,3.967,3.47,3.858,4.02,5.876,2.236,247.8,97.0,173.1,123.4,162.2,178.4,364.0,,
2020-01-16,4.681,3.21,3.967,3.464,3.836,4.005,5.876,2.258,242.3,95.2,170.9,120.6,157.8,174.7,361.8,,
2020-01-17,4.694,3.225,3.968,3.486,3.841,4.022,5.904,2.281,241.3,94.4,168.7,120.5,156.0,174.1,362.3,,
2020-01-20,4.694,3.225,3.968,3.486,3.841,4.022,5.904,2.281,241.3,94.4,168.7,120.5,156.0,174.1,362.3,,
2020-01-21,4.685,3.221,3.971,3.468,3.845,4.018,5.942,2.236,244.9,98.5,173.5,123.2,160.9,178.2,370.6,,
2020-01-22,4.694,3.234,3.956,3.46,3.845,4.008,5.918,2.222,247.2,101.2,173.4,123.8,162.3,178.6,369.6,,
2020-01-23,4.709,3.239,3.958,3.45,3.846,4.002,5.956,2.179,253.0,106.0,177.9,127.1,166.7,182.3,377.7,,
2020-01-24,4.702,3.21,3.938,3.445,3.814,3.979,5.942,2.133,256.9,107.7,180.5,131.2,168.1,184.6,380.9,,
2020-01-27,4.704,3.164,3.929,3.445,3.799,3.953,5.998,2.057,264.7,110.7,187.2,138.8,174.2,189.6,394.1,,
2020-01-28,4.68,3.15,3.894,3.411,3.794,3.941,5.913,2.113,256.7,103.7,178.1,129.8,168.1,182.8,380.0,,
2020-01-29,4.601,3.108,3.827,3.422,3.725,3.887,5.838,2.04,256.1,106.8,178.7,138.2,168.5,184.7,379.8,,
2020-01-30,4.581,3.091,3.802,3.391,3.725,3.849,5.835,2.052,252.9,103.9,175.0,133.9,167.3,179.7,378.3,,
2020-01-31,4.541,3.044,3.758,3.368,3.671,3.812,5.848,2.0,254.1,104.4,175.8,136.8,167.1,181.2,384.8,,
2020-02-03,4.562,3.064,3.778,3.35,3.684,3.825,5.815,2.007,255.5,105.7,177.1,134.3,167.7,181.8,380.8,,
2020-02-04,4.575,3.121,3.81,3.368,3.736,3.879,5.783,2.077,249.8,104.4,173.3,129.1,165.9,180.2,370.6,,
2020-02-05,4.575,3.143,3.824,3.383,3.766,3.891,5.781,2.139,243.6,100.4,168.5,124.4,162.7,175.2,364.2,,
2020-02-06,4.545,3.114,3.79,3.386,3.738,3.864,5.776,2.11,243.5,100.4,168.0,127.6,162.8,175.4,366.6,,
2020-02-07,4.523,3.079,3.755,3.353,3.684,3.835,5.788,2.049,247.4,103.0,170.6,130.4,163.5,178.6,373.9,,
2020-02-10,4.49,3.058,3.743,3.331,3.687,3.799,5.8,2.04,245.0,101.8,170.3,129.1,164.7,175.9,376.0,,
2020-02-11,4.448,3.066,3.726,3.348,3.689,3.776,5.773,2.067,238.1,99.9,165.9,128.1,162.2,170.9,370.6,,
2020-02-12,4.419,3.088,3.744,3.363,3.69,3.785,5.806,2.09,232.9,99.8,165.4,127.3,160.0,169.5,371.6,,
2020-02-13,4.395,3.072,3.737,3.325,3.666,3.774,5.8,2.075,232.0,99.7,166.2,125.0,159.1,169.9,372.5,,
2020-02-14,4.293,3.032,3.711,3.315,3.648,3.729,5.76,2.039,225.4,99.3,167.2,127.6,160.9,169.0,372.1,,
2020-02-17,4.293,3.032,3.711,3.315,3.648,3.729,5.76,2.039,225.4,99.3,167.2,127.6,160.9,169.0,372.1,,
2020-02-18,4.263,2.993,3.664,3.262,3.624,3.669,5.733,2.011,225.2,98.2,165.3,125.1,161.3,165.8,372.2,,
2020-02-19,4.158,2.987,3.642,3.277,3.6,3.655,5.699,2.015,214.3,97.2,162.7,126.2,158.5,164.0,368.4,,
2020-02-20,4.162,2.96,3.632,3.272,3.555,3.65,5.694,1.962,220.0,99.8,167.0,131.0,159.3,168.8,373.2,,
2020-02-21,4.174,2.904,3.58,3.237,3.469,3.635,5.685,1.915,225.9,98.9,166.5,132.2,155.4,172.0,377.0,,
2020-02-24,4.156,2.857,3.563,3.189,3.447,3.633,5.693,1.835,232.1,102.2,172.8,135.4,161.2,179.8,385.8,,
2020-02-25,4.168,2.894,3.593,3.209,3.504,3.688,5.743,1.826,234.2,106.8,176.7,138.3,167.8,186.2,391.7,,
2020-02-26,4.225,2.915,3.616,3.251,3.527,3.7,5.798,1.824,240.1,109.1,179.2,142.7,170.3,187.6,397.4,,
2020-02-27,4.388,2.995,3.705,3.323,3.58,3.755,5.927,1.758,263.0,123.7,194.7,156.5,182.2,199.7,416.9,,
2020-02-28,4.393,2.99,3.716,3.452,3.662,3.746,6.055,1.676,271.7,131.4,204.0,177.6,198.6,207.0,437.9,,
2020-03-02,4.386,2.984,3.709,3.377,3.567,3.739,6.012,1.638,274.8,134.6,207.1,173.9,192.9,210.1,437.4,,
2020-03-03,4.169,2.852,3.524,3.34,3.505,3.613,5.945,1.616,255.3,123.6,190.8,172.4,188.9,199.7,432.9,,
2020-03-04,4.072,2.835,3.504,3.198,3.479,3.592,5.836,1.703,236.9,113.2,180.1,149.5,177.6,188.9,413.3,,
2020-03-05,4.157,2.858,3.52,3.172,3.362,3.605,5.901,1.542,261.5,131.6,197.8,163.0,182.0,206.3,435.9,,
2020-03-06,4.053,2.665,3.391,3.187,3.387,3.474,6.051,1.289,276.4,137.6,210.2,189.8,209.8,218.5,476.2,,
2020-03-09,4.434,2.803,3.79,3.431,3.863,3.9,6.454,0.997,343.7,180.6,279.3,243.4,286.6,290.3,545.7,,
2020-03-10,4.382,2.829,3.848,3.325,3.885,3.877,6.417,1.281,310.1,154.8,256.7,204.4,260.4,259.6,513.6,,
2020-03-11,4.689,3.103,4.229,3.362,4.083,4.216,6.555,1.393,329.6,171.0,283.6,196.9,269.0,282.3,516.2,,
2020-03-12,5.386,3.461,4.874,3.586,4.481,4.732,7.357,1.445,394.1,201.6,342.9,214.1,303.6,328.7,591.2,,
2020-03-13,5.155,3.441,4.721,3.617,4.533,4.59,7.061,1.536,361.9,190.5,318.5,208.1,299.7,305.4,552.5,,
