tanggal,CDS_CBIN_5Y,CDS_CBIN_10Y
2020-11-05,84.655,147.665
2020-11-06,83.45,150.255
2020-11-09,75.775,139.49
2020-11-10,72.415,134.56
2020-11-11,71.665,133.435
2020-11-12,74.34,137.245
2020-11-13,75.74,139.39
2020-11-16,74.54,137.53
2020-11-17,75.865,139.37
2020-11-18,75.465,138.855
2020-11-19,76.88,140.84
2020-11-20,79.39,144.37
2020-11-23,77.115,141.21
2020-11-24,73.32,135.835
2020-11-25,72.335,134.375
2020-11-26,72.52,134.465
2020-11-27,72.51,134.435
2020-11-30,72.545,133.78
2020-12-01,70.245,130.49
2020-12-02,69.985,130.015
2020-12-03,68.32,128.29
2020-12-04,67.97,127.84
2020-12-07,68.675,128.71
2020-12-08,69.65,130.13
2020-12-09,69.475,129.9
2020-12-10,69.01,129.2
2020-12-11,69.51,129.945
2020-12-14,70.11,130.795
2020-12-15,68.59,128.62
2020-12-16,68.825,128.92
2020-12-17,66.955,126.23
2020-12-18,67.29,126.68
2020-12-21,69.605,129.94
2020-12-22,69.565,129.88
2020-12-23,68.79,128.805
2020-12-24,68.46,130.3
2020-12-25,68.485,130.62
2020-12-28,68.32,130.35
2020-12-29,67.495,129.145
2020-12-30,67.4,128.995
2020-12-31,67.515,128.015
2021-01-01,67.66,128.26
2021-01-04,67.36,127.8
2021-01-05,68.89,130.0
2021-01-06,68.925,130.0
2021-01-07,66.585,126.545
2021-01-08,68.42,129.09
2021-01-11,71.03,132.7
2021-01-12,73.455,135.795
2021-01-13,72.53,134.47
2021-01-14,72.975,135.15
2021-01-15,74.43,137.13
2021-01-18,76.3,139.79
2021-01-19,74.2,136.845
2021-01-20,73.02,136.5
2021-01-21,72.485,135.73
2021-01-22,73.415,137.01
2021-01-25,73.71,137.385
2021-01-26,73.92,137.77
2021-01-27,75.905,140.535
2021-01-28,75.285,139.685
2021-01-29,75.86,140.405
2021-02-01,74.865,138.89
2021-02-02,72.395,135.445
2021-02-03,70.27,132.345
2021-02-04,69.57,131.295
2021-02-05,68.63,129.915
2021-02-08,67.985,128.89
2021-02-09,67.615,128.355
2021-02-10,67.965,128.865
2021-02-11,67.4,128.1
2021-02-12,67.535,128.25
2021-02-15,67.585,128.215
2021-02-16,67.17,127.625
2021-02-17,67.615,131.825
2021-02-18,67.83,132.145
2021-02-19,67.275,131.33
2021-02-22,69.285,134.13
2021-02-23,71.55,136.08
2021-02-24,69.96,133.805
2021-02-25,71.225,135.625
2021-02-26,79.425,147.1
2021-03-01,74.315,138.2
2021-03-02,75.055,139.18
2021-03-03,74.29,138.135
2021-03-04,77.335,142.995
2021-03-05,78.625,144.66
2021-03-08,83.84,151.855
2021-03-09,85.435,151.755
2021-03-10,84.655,150.84
2021-03-11,77.035,140.535
2021-03-12,81.345,146.47
2021-03-15,79.405,143.625
2021-03-16,78.35,142.175
2021-03-17,78.565,142.465
2021-03-18,76.995,140.24
2021-03-19,74.925,139.89
2021-03-22,85.83,146.055
2021-03-23,84.5,149.44
2021-03-24,86.505,152.335
2021-03-25,87.715,154.025
2021-03-26,86.365,152.11
2021-03-29,87.33,153.285
2021-03-30,89.18,155.73
2021-03-31,87.92,153.895
2021-04-01,84.855,149.66
2021-04-02,84.09,148.675
2021-04-05,84.74,150.165
2021-04-06,84.29,149.63
2021-04-07,84.315,149.77
2021-04-08,85.055,150.765
2021-04-09,84.59,150.205
2021-04-12,83.605,148.74
2021-04-13,83.27,148.26
2021-04-14,83.785,149.075
2021-04-15,82.71,147.58
2021-04-16,79.805,143.765
2021-04-19,78.04,141.265
2021-04-20,80.59,144.725
2021-04-21,79.215,144.375
2021-04-22,80.02,145.485
2021-04-23,78.725,143.68
2021-04-26,78.945,143.945
2021-04-27,77.64,142.07
2021-04-28,78.91,143.77
2021-04-29,77.0,141.075
2021-04-30,77.405,141.59
2021-05-03,77.95,142.335
2021-05-04,78.775,143.535
2021-05-05,77.66,142.72
2021-05-06,77.135,142.015
2021-05-07,75.78,140.08
2021-05-10,74.325,137.98
2021-05-11,76.365,140.85
2021-05-12,77.88,142.96
2021-05-13,79.82,145.595
2021-05-14,77.405,142.355
2021-05-17,77.165,142.025
2021-05-18,77.16,141.975
2021-05-19,78.55,143.935
2021-05-20,78.815,144.23
2021-05-21,78.935,144.47
2021-05-24,78.0,143.135
2021-05-25,76.975,141.705
2021-05-26,76.765,144.255
2021-05-27,76.725,144.17
2021-05-28,76.605,140.46
2021-05-31,75.935,139.545
2021-06-01,75.81,139.365
2021-06-02,75.085,138.22
2021-06-03,75.615,139.0
2021-06-04,76.115,139.135
2021-06-07,75.965,139.03
2021-06-08,74.915,136.92
2021-06-09,74.495,136.18
2021-06-10,74.44,137.665
2021-06-11,72.595,135.485
2021-06-14,73.505,137.655
2021-06-15,73.08,136.955
2021-06-16,73.61,137.74
2021-06-17,74.37,138.66
2021-06-18,75.055,139.815
2021-06-21,74.66,139.385
2021-06-22,75.11,139.925
2021-06-23,74.305,138.79
2021-06-24,73.765,136.165
2021-06-25,72.91,136.23
2021-06-28,73.255,136.68
2021-06-29,73.97,137.74
2021-06-30,74.42,138.365
2021-07-01,74.185,137.2
2021-07-02,74.035,137.005
2021-07-05,74.575,137.755
2021-07-06,76.045,140.435
2021-07-07,76.145,140.015
2021-07-08,78.64,143.54
2021-07-09,77.52,141.995
2021-07-12,77.795,141.61
2021-07-13,78.01,141.92
2021-07-14,77.11,139.86
2021-07-15,77.825,140.98
2021-07-16,78.335,141.595
2021-07-19,80.54,146.145
2021-07-20,80.91,146.545
2021-07-21,79.77,143.115
2021-07-22,79.4,143.205
2021-07-23,78.135,141.44
2021-07-26,79.99,144.02
2021-07-27,83.365,148.625
2021-07-28,82.38,147.355
2021-07-29,80.01,144.105
2021-07-30,81.395,145.965
2021-08-02,80.74,145.15
2021-08-03,80.135,144.37
2021-08-04,79.925,143.995
2021-08-05,79.565,143.48
2021-08-06,78.595,142.075
2021-08-09,78.555,141.85
2021-08-10,77.6,139.22
2021-08-11,76.895,138.195
2021-08-12,74.815,135.365
2021-08-13,74.235,134.535
2021-08-16,74.51,135.055
2021-08-17,75.415,141.13
2021-08-18,73.975,139.095
2021-08-19,73.845,138.92
2021-08-20,73.85,138.7
2021-08-23,73.41,138.015
2021-08-24,72.5,136.215
2021-08-25,72.03,135.45
2021-08-26,72.09,135.455
2021-08-27,70.86,133.15
2021-08-30,68.185,128.18
2021-08-31,67.605,130.545
2021-09-01,66.47,127.695
2021-09-02,66.7,128.035
2021-09-03,67.07,128.585
2021-09-06,66.915,128.245
2021-09-07,66.57,127.745
2021-09-08,67.01,128.29
2021-09-09,67.91,129.625
2021-09-10,66.905,128.72
2021-09-13,66.61,128.195
2021-09-14,66.91,129.36
2021-09-15,67.12,129.72
2021-09-16,67.41,130.1
2021-09-17,69.805,133.485
2021-09-20,86.88,147.915
2021-09-21,80.12,138.78
2021-09-22,79.785,138.315
2021-09-23,77.36,135.065
2021-09-24,79.805,138.14
2021-09-27,80.335,138.845
2021-09-28,84.1,143.845
2021-09-29,82.445,141.52
2021-09-30,81.69,140.545
2021-10-01,80.88,139.535
2021-10-04,82.615,141.845
2021-10-05,85.86,146.185
2021-10-06,88.66,149.825
2021-10-07,84.91,144.82
2021-10-08,87.365,147.985
2021-10-11,96.435,159.925
2021-10-12,93.085,155.555
2021-10-13,93.445,156.1
2021-10-14,91.535,153.72
2021-10-15,85.815,146.215
2021-10-18,87.02,147.72
2021-10-19,83.46,142.93
2021-10-20,82.49,147.585
2021-10-21,83.19,148.455
2021-10-22,82.625,147.58
2021-10-25,82.435,147.46
2021-10-26,80.715,145.01
2021-10-27,79.28,143.09
2021-10-28,80.275,144.6
2021-10-29,82.26,147.425
2021-11-01,82.56,147.79
2021-11-02,83.66,149.315
2021-11-03,81.39,146.055
2021-11-04,79.57,143.37
2021-11-05,80.63,145.01
2021-11-08,83.09,148.58
2021-11-09,85.275,151.56
2021-11-10,83.45,149.135
2021-11-11,85.015,151.105
2021-11-12,84.06,149.815
2021-11-15,83.165,148.405
2021-11-16,82.315,147.195
2021-11-17,79.965,143.86
2021-11-18,78.585,142.025
2021-11-19,78.035,141.255
2021-11-22,77.79,140.99
2021-11-23,78.615,141.995
2021-11-24,80.035,143.9
2021-11-25,80.535,144.645
2021-11-26,89.075,156.495
2021-11-29,84.725,150.76
2021-11-30,88.255,155.6
2021-12-01,88.77,156.305
2021-12-02,87.905,155.27
2021-12-03,87.675,154.835
2021-12-06,86.165,152.875
2021-12-07,82.045,147.08
2021-12-08,80.385,144.715
2021-12-09,79.37,143.25
2021-12-10,78.465,142.01
2021-12-13,77.84,141.135
2021-12-14,78.005,141.46
2021-12-15,77.595,140.825
2021-12-16,76.35,139.045
2021-12-17,76.39,139.23
2021-12-20,78.995,142.825
2021-12-21,78.055,141.415
2021-12-22,77.02,139.945
2021-12-23,77.0,139.89
2021-12-24,75.73,138.07
2021-12-27,75.47,137.785
2021-12-28,76.015,138.11
2021-12-29,75.71,137.665
2021-12-30,74.55,135.92
2021-12-31,74.89,136.46
2022-01-03,73.96,135.155
2022-01-04,71.51,131.56
2022-01-05,73.865,134.785
2022-01-06,78.42,141.025
2022-01-07,77.975,146.075
2022-01-10,79.985,148.825
2022-01-11,77.72,145.625
2022-01-12,78.505,146.825
2022-01-13,81.56,151.125
2022-01-14,84.895,155.98
2022-01-17,87.465,159.38
2022-01-18,88.025,160.125
2022-01-19,85.535,156.49
2022-01-20,86.2,157.425
2022-01-21,87.53,159.465
2022-01-24,88.945,161.445
2022-01-25,88.855,161.255
2022-01-26,86.505,157.98
2022-01-27,90.02,162.685
2022-01-28,91.695,165.16
2022-01-31,90.35,160.025
2022-02-01,88.845,157.705
2022-02-02,89.975,159.74
2022-02-03,88.65,157.805
2022-02-04,92.045,162.31
2022-02-07,97.16,169.13
2022-02-08,94.92,166.115
2022-02-09,92.31,162.505
2022-02-10,94.025,164.86
2022-02-11,96.68,168.42
2022-02-14,99.4,172.21
2022-02-15,96.87,168.645
2022-02-16,95.29,166.445
2022-02-17,97.92,169.9
2022-02-18,99.045,171.62
2022-02-21,98.095,170.395
2022-02-22,100.505,173.665
