tanggal_lelang_pricing,code,tenor,ust_10y,ust_2y,vix,move,dxy,ndf_1m,ndf_12m,idr_regn,ust_3m,xau_gold,inflation,slope_10y_2y,slope_2y_3m,cds_5y,indo_10y,tenor_x_ust10y,vix_x_move,prev_owners_estimate_code,prev_way_awarded_code,days_since_prev_auction_code,auctions_since_prev_code,prev_bid_to_cover_ratio_code,prev_total_penawaran_code,prev_total_penawaran_diterima_code,owners_estimate
08/08/2023,bm05,5.015742642,4.093,4.766,15.77,120.94,102.047,0.270003293,0.974646032,15185,5.411,1936.56,3.11,-0.673,-0.645,78.34,6.390695,20.52943463,1907.2238,5.9,5.89983,14,83,1.430255319,3361100,2350000,6.04
08/08/2023,bm30,28.01368925,4.093,4.766,15.77,120.94,102.047,0.270003293,0.974646032,15185,5.411,1936.56,3.11,-0.673,-0.645,78.34,6.390695,114.6600301,1907.2238,6.67,6.66807,14,83,1.455181818,3201400,2200000,6.71
08/08/2023,bm20,19.84668036,4.093,4.766,15.77,120.94,102.047,0.270003293,0.974646032,15185,5.411,1936.56,3.11,-0.673,-0.645,78.34,6.390695,81.23246271,1907.2238,6.42,6.41933,14,83,2.723846154,3541000,1300000,6.55
08/08/2023,sdg07,7.181382615,4.093,4.766,15.77,120.94,102.047,0.270003293,0.974646032,15185,5.411,1936.56,3.11,-0.673,-0.645,78.34,6.390695,29.39339904,1907.2238,6.25,0,71,4,0,10952000,0,6.23
08/08/2023,bm15,14.84736482,4.093,4.766,15.77,120.94,102.047,0.270003293,0.974646032,15185,5.411,1936.56,3.11,-0.673,-0.645,78.34,6.390695,60.77026421,1907.2238,6.34,6.33992,14,83,2.860347826,6578800,2300000,6.48
08/08/2023,spn03m,0.249144422,4.093,4.766,15.77,120.94,102.047,0.270003293,0.974646032,15185,5.411,1936.56,3.11,-0.673,-0.645,78.34,6.390695,1.019748119,1907.2238,4.4,0,14,83,0,5000,0,4.6
08/08/2023,bm10,9.519507187,4.093,4.766,15.77,120.94,102.047,0.270003293,0.974646032,15185,5.411,1936.56,3.11,-0.673,-0.645,78.34,6.390695,38.96334292,1907.2238,6.2,6.19986,14,83,3.112731707,12762200,4100000,6.34
22/08/2023,bm10,10.48049281,4.341,5.003,17.13,130.69,103.3,0.254486134,0.998368679,15325,5.439,1894.93,3.11,-0.662,-0.436,89.265,6.576044,45.49581929,2238.7197,6.34,6.33989,14,84,4.259333333,9583500,2250000,6.69
22/08/2023,bm20,19.80835044,4.341,5.003,17.13,130.69,103.3,0.254486134,0.998368679,15325,5.439,1894.93,3.11,-0.662,-0.436,89.265,6.576044,85.98804926,2238.7197,6.55,6.54912,14,84,1.281111111,1153000,900000,6.82
22/08/2023,spn03m,0.246406571,4.341,5.003,17.13,130.69,103.3,0.254486134,0.998368679,15325,5.439,1894.93,3.11,-0.662,-0.436,89.265,6.576044,1.069650925,2238.7197,4.6,4.525,14,84,0,1610000,100000,4.7
